,source,target,edge
631,木目演出,木目デザイン,可能
633,環境負荷,ガス透過,活用
637,本製品,防錆油錆,材
639,少ない,異材質,特長
647,ガス,サフマーレエクステリア,出展
655,作動液,熱輸送,実現
671,空間・部門,演習＊1,開発
672,メンバー人,対応指示責任,学ぶ
673,DNP,ナレッジアカデミー提供,開始
678,机上備え,机上演習,不可欠
679,知見・DNP,学ぶ演習,開発
682,参加者評価,改善点,理解
684,インシデント対応体験,計画策定認識,得る
686,インシデント実績,分析官知見,反映
688,本トレーニング,顧客,期待
692,ナレッジアカデミー,セキュリティ育成,支援
704,＊2,トライアル運用,開始
705,MOES,手工程,化
706,翻訳機能,効率化,貢献
709,こと,ほとんど,なっ
710,連携,活性サービス,推進
713,サービスMOES,着彩機能,実装
714,（作業時間,マンガ全て,）
715,制作者,こと追加,し
716,場合,表現,なり
720,教育機関DNP,効率構築,強化
722,DNP,制作関連売上,目指し
724,）,AIソリューション,提供
735,（DNP）,現代アート,協賛
736,想像力,価値観,寄与
741,アートイベント,現代祭典,開催
744,展示会場,作品,付近
747,人々,女性,つなげ
750,指紋,装用化粧シート,開発
757,本製品,造作材支持,弾
758,コーティング＊人々,内装化粧シート,提供
762,デザイン設計,一貫性,求め
763,曲面加工,サフマーレプレミア,開発
765,コーティング従来,（低質感,実現
766,インテリア業反射,新欧米,なり
768,木目指紋,効果,発揮
773,・作業,）排出量,4
775,DNP,約売上,目指し
776,本製品,DNP社員,展示
777,ガス,EBコーティングMALLEABILITY,実現
779,無溶剤塗工,品質安定性,技術
792,（DNP）,庁セキュリティセンター,オープン
793,対処能力DNP,対処能力向上,設置
796,生活者,認知啓発,貢献
799,利用者,理解学習,進める
803,動画視聴,画像追加,楽しん
807,DNP,バーチャル検証,つなげ
815,Androidブラウザ,最新版,利用
816,iOSブラウザ,Safari,利用
833,DNPデータテクノ,資源循環,加盟
834,再生DNP,シール・展開,貢献
836,分科会活動,水平検討,行い
850,2023年DNP,環境活動,推進
857,日本指導,居場,提供
868,2021年度両社,（VLP）,提供
872,日本語指導,・有識者,サポート
874,児童・表現,各種アイテム動き,でき
876,児童・生徒,日本語講座,開催
878,オンライン支援員,〇研修,サポート
879,オンライン支援員,活動法人研修,添い
881,進路DNP,メタバース施設,企画
883,日本語指導,教育活動,支援
884,セーフティネット,サービス提供,対象
888,日本指導,体験価値,創出
892,数百レノボ,デジタル化社会,ご覧
901,：DNP）,タイム・削減,つなげ
907,DNP,購買DX,強化
910,担当者,リードタイム,する
911,品目数,（ECサイト,）
913,安定インパクト,購買情報,注力
925,（DMA）,写真プリント,制作
926,DNP,フォト視座,開催
931,DNP,写真点,展示
943,DMA,企画展,開催
954,（DNP）,コラボレーションイベント,開催
956,商店DNP,リユース分別,実施
957,道頓堀商店会,トークイベント,実施
987,地域活性DNP,地域活性化,参画
1001,ポート等イベント,・自転車影響,検証
1004,交通システムSRT,（Transit特性,表し
1005,人流回遊分析,人流回遊データ,役立て
1011,活性誰,早期実現,図っ
1027,（DNP）,検収作業時間,短縮
1028,DNP,導入事例,紹介
1030,建設同社,効率ステップ,注力
1031,機材管理システム,金属対応RFID,至り
1034,通信距離,一括読み取り,し
1036,機材管理こと,製品コード等,でき
1043,待ち解消,利便導入,」
1045,DNP,建設業売上,目指し
1061,DNP,空間体験,創出
1064,場・クリエイター,エンターテインメント施設,実現
1065,来場者,展示企画,実施
1067,SNS行為,創る楽し,提供
1084,DNP,XRコミュニケーション事業,拡大
1095,来場DNP,高製品,訴求
1098,化学物質,認証規格,取得
1101,UV情報,UVレジン,展開
1104,在庫利用,ICタグ）,期待
1107,国際展示年,・衣料焦点,あり
1119,DNPグループ,機能アジア,拡販
1131,（DNP）,（FFD）,実施
1132,DNP,就業意欲コミュニケーション,つなげ
1133,DNP,コミュニケーション施策,展開
1136,・グループ会社,3ビル見学,行い
1137,みどころウォーク体験,アート作品等,行い
1138,子どもたち,名刺プログラム,実施
1145,ご名,ご社員,）
1158,本社,実証実験,行い
1159,DNP,受容性,検証
1162,対象課題,対象者,あり
1163,実証DNP,本サービス,貢献
1166,社員,顔写真,登録
1169,利用者,入力,する
1170,利用者,決済,行う
1175,利用者,顔認証決済,実現
1177,システム運用リスク,運用負荷,抑え
1179,DNP,顔認証課題,貢献
1180,DNP,認証サービス,展開
1182,本人認証,体験価値,向上
1197,（SuMPO）,奨励賞,受賞
1201,環境配慮,（SXこと,）
1202,CO₂認証取り組み,情報・基盤,評価
1204,算定こと,算定結果,なり
1205,削減把握,環境配慮パッケージ,なり
1207,DNP,カーボン取り組み,支援
1209,DNP,自然共生取り組み,加速
1224,・紀北町,地域づくり,もの
1227,課題,適正化,見え
1229,医療従事者,実証実験,行い
1230,各情報,各薬,記録
1233,薬剤師,服薬こと,目指し
1235,有用性,服薬評価,確認
1236,こと,薬局,分かり
1239,高齢化,重症化予防,貢献
1255,：DNP）,DCG）提供,開始
1256,表現力,3DCG外観,特徴
1257,3DCG金堂,3DCG提供,予定
1261,利活用ニーズ,使用手間,高まっ
1262,ニーズ・DNP,3DCG提供,開始
1265,DNP,収益構築,目指し
1267,制作会社等,（効果幅,広げる
1271,企業等,早期提供,し
1273,関連販売,地域活性事業,展開
1275,清澄白河活用,利用シーン,始まっ
1281,困難,じぶん性,確認
1289,じぶん性,回答,確認
1292,じぶん書体,特性傾向,する
1303,こと,3種類）,分かっ
1306,丸ゴシックこと,じぶんフォント,評価
1308,調査結果,じぶん性,検証
1319,人,制作サービス,開始
1325,（DMA）,制作サービス,開始
1326,技術・もの,技術・ノウハウ,マンガ
1330,説明・場合,環境,状況
1331,人,環境づくり,目指し
1334,心理必要,心理表現,作画
1340,LL方,理解度,評価
1342,DNPグループ,課題解決,貢献
1343,こと,文字,障がい
1351,（DNP）,報告書2023,発行
1356,DNP,企業活動,努め
1357,本誌,皆コミュニケーション,深め
1380,：DNP）,資本業務提携,し
1381,両社,開発・事業,推進
1383,高ベース）,選択解,1
1384,社会AQ,ソフトウェア開発,展開
1385,方向性,相乗効果,至り
1388,両社,配送DX,支援
1390,・団体等,解決体制,構築
1391,DNP,研究開発強化,図り
1393,両社,量子実装,目指し
1394,物流業界,2024年問題,貢献
1398,構造,化問題,特化
1409,会社DNPコアライズ,締結報告会,開催
1410,旭川市,（水活動,開始
1413,行政職員,外部検討,進め
1414,旭川市,改善・提案,貢献
1431,DNPグループ,構造推進,支援
1446,労働省DNP,ツール経験,検討
1450,開発支援取り組み,歯科健診,採択
1453,Webスコア,リスク判定,実現
1455,サービス開発,運用ノウハウ,行い
1457,利用者,開発・提供,目指し
1459,早期受診,社会実装,貢献
1470,広告jeki,（月販売,開始
1472,DNP,広告等,表示
1473,トレインチャンネル,注目率,獲得
1476,エレベーター向け,視聴レポート,提供
1484,DNP,広告連携,強化
1498,大会期間DNP,ブース,出展
1501,子どもアスリート,取り組み,推進
1502,DNP,価値企画,行い
1511,紙カップ,紙カップ,予定
1514,フォトスポット,古新聞,作製
1515,＊2DNP,環境取り組み,推進
1518,記念撮影,企画,実施
1523,仕掛け地域,人・地域,つなげ
1534,仁科弘重）,共同研究,開始
1535,課題解決両者,バリューチェーン,組ん
1540,両者,食料実現,目指し
1549,DNP,総合力,。
1551,愛媛大学,こと知見,貢献
1554,2024年将来,ミールワーム粉末,提供
1573,:DNP）,新製品,開発
1574,DNP,装用化粧シート,開発
1578,DNP,耐候性,向上
1580,結果,耐候性試験,）
1581,こと,防止状況,確認
1585,海外展開,累計売上,検討
1587,無溶剤塗工,品質安定性,技術
1590,※本リリース,SWOM）時間,変更
1599,CMO株式会社,製造支援事業,出展
1600,両社,製品・サービス,つなげ
1605,DNP,課題解決,支援
1608,シミックCMO,支援）ソリューション,紹介
1612,製剤技術導入,トータルソリューション,展開
1613,事業両社,型医薬ウェブサイト,ご覧
1625,（JEITA）,業界検証,行い
1626,DNP,下流連動,行い
1628,排出量こと,排出量データ,不可欠
1629,xDigitalコンソーシアム,排出量こと,試み
1631,DNP,自然共生取り組み,加速
1632,＊DNP,＊活動,貢献
1640,メディア・アート,共創写真展,開催
1644,DNPグループ,写真展,来場
1649,本写真校,写真作品,展示
1650,実現,DNP・技術,もの
1651,DMA,企画展,開催
1660,空気こと,写真,期間
1661,被写体,ことビジュアル,期間
1662,作品リアリティ,側面,期間
1663,考え,人プロジェクト,期間
1670,（DNP）,ラベル提供,開始
1671,DNP,CO2排出削減,込ん
1676,燃焼CO2,有機溶剤,排出
1677,DNP,ラベル伝票,開発
1680,課題,ラベル伝票,なり
1682,DNP,GHG排出削減,進め
1688,大日本FitStats,情報銀行認定,取得
1697,:DNP）,P認定）,取得
1698,利用者数,月末人,利用
1701,DNP,FiNC社協力,利用
1702,利用者,生活きっかけ,提供
1703,企業,利用ニーズ,掘り
1705,検討会,認定こと,もの
1706,・実行体制,P認定,取得
1707,IT団体ウェブサイト,こちら,tpdms
1709,事業者,FitStats,利用
1713,生活者,社会,実現
1731,:藤井）,％,し
1732,DNPグループ,共創創出,推進
1736,実験DNP,事業創出,目指し
1739,メタストア,共同活動,支援
1741,DNP,認証強化,推進
1743,ハコスコ,事業開拓,推進
1745,ハコスコ,DNPあたりまえ,組ん
1759,佐々木康行）,コーポレート広場,開設
1764,高等専門ロボット,DXマーカ,入賞
1768,ロボット＊2,自動技術,入賞
1769,東京ロボット,陳列・回収,様子
1772,行う商品,DXマーカ,装着
1773,DXマーカ,角度等,検出
1774,DXロボット,効率タスク,入賞
1776,正辺,画像処理カメラ,センシング
1778,IDデータ,対象動き,解析
1784,DNP,DXマーカ,貢献
1796,:DNP）,®フロアプレミア,発売
1797,インテリアDNP,内装化粧シート,開発
1800,地球製品,空間,求め
1801,DNP,サフマーレフロアプレミア,開発
1804,本製品,低艶感,表現
1806,摩擦値,心地よい滑り,）
1808,EBコーティング,）排出量,3
1810,本製品,DNP社員,展示
1811,無溶剤塗工,品質安定性,技術
1812,ガス,バランスMALLEABILITY,実現
1822,（GPIF）,日本企業,選定
1823,GPIF,取り組み,指標
1831,・ガバナンスDNP,持続価値,成長
1843,:DNP）,認知メタバース,採用
1844,（インシデント）,サービス提供,予定
1848,受講者,セキュリティ対応こと,展開
1849,DNP,インシデント訓練,支援
1852,DNP,認知コンテンツ,発信
1854,メタバース特長,対応方法,あり
1855,受講者,環境,提供
1857,各参加者,ボイスチャットシナリオ,進め
1858,インシデント発生企業,対処法,習得
1860,DNP,各種活動,支援
1873,子どもたち,職場こと,し
1874,DNP,縄文あれこれ,開催
1883,：インターネット接続,キューブ閲覧利用,推奨
1887,＊キューブ,縄文文化,学ぶ
1891,みどころシリーズ,部門最賞,受賞
1904,就労地域取り組み,総務テレワーク,採択
1905,自治体,就労支援モデル,検討
1909,仕組みづくり,地域経済,検討
1911,地域住民,個人情報保護,）
1915,キャリアがわ,本実証事業,予定
1932,株式会社Raptors,試作版デモンストレーション,行い
1936,アルミ層,技術力,アピール
1937,オリジナルイラスト,世界観,https
1939,ブロックチェーン商品,真贋こと,目指し
1942,コンテンツファン,来歴こと,組み
1943,現代展開,今年個展,予定
1949,金属作品,展覧会,開催
1962,（DNP）,＊プロモーション,実施
1963,メタバース活動,検証,続け
1966,TikTok,おプロモーション,展開
1973,・スミス氏,映像代表,選出
1975,若年層,地域活性創出,探求
1987,博物バーチャル,MR体験,提供
1992,（DNP）,実証実験,行い
1993,System）バーチャル,土器サービス,提供
1997,利用者,実証課題,検証
2000,調査様子,貝層展示,タイムスリップ
2002,一体表示,竪穴住居大き,伝え
2008,＊整理券,予定配布,了承
2010,DNP,機能開発等,展開
2023,（DNP）,ゲートウェイ＊1,紹介
2025,VR画像,本画面,)
2027,DNP,VRプレゼンゲートウェイ,提案
2028,施主,バーチャル空間内,つながり
2029,必要,住宅VR,また
2032,お修正,住宅データ,確認
2034,設定作業,VR空間内,移動
2036,DNP,高精細VR,生成
2038,DNP,機能拡張,進め
2055,EkiVerse＊1,開発,オープン
2056,TokyoDNP,ブランディング向上,つなげ
2061,本メタバース,お子学び,応援
2063,空間アスレチック,丸の内駅舎周辺,体験
2065,利用者,店舗・スポット,し
2070,DNP,情報活用,貢献
2077,Androidブラウザ,最新版,利用
2078,iOSブラウザ,Safari,利用
2089,（DNP）,最新動向,開催
2090,海外展示速報,DesignWeek2023,予定
2092,DNP,グラフ等,解説
2098,DNP,コラム＊1,発信
2099,デザインチーム,情報姿,発信
2102,具現DNP,デザイン製品,発信
2103,2021新作レポート,こちら,html
2116,参加者,理解・共感,込ん
2117,DNP,本サービス,提供
2120,メタバースニーズ,メタバース構築サービス,開発
2121,謎解きノウハウ,サービス,開発
2124,サービス提供,機能,なり
2126,ことこと,こと役割,可能
2127,・団体等,シナリオ,提供
2133,DNP,累計売上,目指し
2134,本DNP,法人Metaverse教育,参画
2146,株式会社明治,CACAOSTYLEROOM,制作
2147,明治,アップサイクル,活用
2149,STYLE製品）,カカオハスク,支給
2153,○DNPグループ,カカオハスクボード,作成
2155,繊維リサイクル強度,紙約％,あり
2157,負荷低減,積層段ボール,し
2159,DNP,利便開発,進め
2160,DNP,アップサイクル）,推進
2173,来場DNP,価値,訴求
2176,DNP,1950年実績,重ね
2177,アート特長,ブース,あり
2190,DNP,外装力,貢献
2205,生活者,商品・サービス,貢献
2210,商品・こと,商品・市場,なっ
2211,脱炭素DNP,配慮パッケージ導入,促進
2213,ライフサイクル企業,最大導入,促進
2214,（SuMPO）,当活用,支援
2215,DNP,脱アクション,促進
2222,DNP,GREENこと,目指し
2227,反射強度,透過製造,実現
2233,:DNP）,回転角度,参入
2236,DNP,エンコーダディスク,対応
2240,DNP,エンコーダディスク,対応
2242,エンコーダ提供,ディスク設置耐性,つなげ
2245,こと,エンコーダディスク,提供
2247,エンコーダディスク,累計売上,開発
2258,自社,企画展,開催
2260,トランスフォーメーション）本社,企画展,行い
2262,皆さん,こと,掲示
2263,子どもたち,市谷,展示
2266,誰,環境,サービス
2268,手助け,人,）
2269,以下,事例,リリース
2270,自治体,持続実現,html
2272,・良品計画,活性市谷,html
2274,DNP,生活魅力,予定
2278,株主,可視施策,提案
2282,（ロイヤルティ影響,IXマネジメント提供,開始
2284,具体課題,結果,あり
2285,個人投資株主,企業向上,支援
2286,＊サービス,IXマネジメントサービス,設計
2288,株主性,個人株主アンケート,実施
2290,改善こと,ロイヤルティ方向,可能
2292,関連サービス,売上,目指し
2306,コンサルティング社,CO₂排出削減,提供
2309,算定課題,排出量効果,あり
2310,長瀬産業,コンサルティングサービス,提供
2313,内容企業,カーボンフットプリント,支援
2315,両社,削減量,なり
2318,CO₂認証システム,企業・ノウハウ,貢献
2324,両社,本コンサルティングサービス,組ん
2325,DNP,二次元コード,紹介
2339,DNP社員,伝える演出,行い
2345,開発DNP,開発・提供,行い
2349,ズール・影,来場流れ,伝え
2350,進化系統影,展示エリア,演出
2352,キューブ®,体）インタフェース,システム
2354,本ツール,展示内容,（
2355,鑑賞者,関連情報,得る
2357,＊自分,＊経験,なっ
2358,DiscoverDNP副業,コンサルタントスペシャリスト,還元
2370,-engineering）,課題解決,つなげ
2373,（DX者,長時間窓口,もの
2374,者,分析・検証,行い
2393,Govmates提供,データ,可能
2396,DNPガバメイツ,利便性実現,支援
2414,ガス,新製品点,発売
2417,EB-F,-F点,追加
2418,ラスターフィール,存在感,使用
2419,DNP,5Styles新柄,開発
2435,メタバース＊1,開発,オープン
2436,一体DNP,ブランディング向上,つなげ
2441,利用者,メタバース商談,チャレンジ
2443,かわいらし,ブルボンメタバース,楽しむ
2445,ブランディング向上,疑似名物,目指し
2447,：何,中下：情報,右下
2449,DNP,情報活用,貢献
2456,Androidブラウザー,最新版,利用
2457,iOSブラウザー,Safari,利用
2471,（TRC）,館向け提供,開始
2477,課題,コロナ禍,あり
2478,映像TRC,学習絵本,販売
2481,ライトアニメ,動画コスト,抑える
2483,隙間定着,価値,提供
2493,TRC,動画拡大,図り
2494,DNP,最大化,図り
2501,開発分野,シート型放送,弾
2502,社員同士,課題姿,紹介
2511,開発分野,放送等,開始
2514,電源充電,電源プラグ,上げ
2515,brand/こちら,開発ストーリー,ご覧
2517,地域DX,地域づくり,推進
2518,デジタル地域DNP,観光様子,伝え
2519,美村ブランド,広域連携モデル,html
2521,＊2,電力伝送,製品
2522,DNP,シート型コイル,開発
2523,電源抜き差し,走行中性,表現
2536,森戸裕一）,・GX賞,受賞
2542,具体,各種情報,発信
2543,生活こと,生活取り組み,強化
2546,トランスフォーメーション）取り組み,デジタル技術,なり
2548,DNP,コミュニケーション施策等,貢献
2564,）株式会社,導入シミュレーター,開発
2565,）＊DAS,ProcessingUnit）,ソフトウェア
2567,こと,移動距離,）
2569,実績,作業,増え
2570,Ultimatrust,効率活用,促進
2574,移動距離,最短経路,なり
2576,場合,障害経路,つながり
2578,飲食AMR,稼働効率,有効
2580,両社,化システム,提供
2589,環境配慮年度,CO₂削減効果,達成
2600,＊これ,CO₂削減量,相当
2602,CO₂削減量,植物由来原料,相当
2603,DNP,CO₂削減算出,実施
2604,製品設計DNP,開発・提供,推進
2609,DNP,二次元コード,紹介
2613,法規順守,GHG排出削減,進め
2615,DNP,未来,組ん
2625,（DNP）,デジタルトランスフォーメーション）,推進
2629,DNP,業務機能,追加
2636,校正負荷,一覧箇所,判別
2639,テキスト言語,ofConcept）,予定
2655,DNP,保険業売上,目指し
2666,自治体,パッケージ提供,開始
2667,パラレルサイト）,実証サービス,提供
2675,シビック企画,職業魅力,サポート
2677,利用者,効果,つながり
2679,時間制約,関係人口,つなげ
2683,自治体等,メタバース,支援
2688,各部署,本サービス,紹介
2702,：DNP）,・分析提供,開始
2703,DNP,・サービス,提供
2706,広告主,デジタル広告構築,急い
2707,来訪分析,ことクッキー,なり
2709,イメージ：ユーザー,関連性,統合
2711,Web利用,情報同意,見込み
2712,2ユーザーターゲティング,2ユーザー像,できる
2713,広告配信,仮想クッキー,なり
2717,データ分析開発,ポストクッキー商材,検討
2720,規制,プライバシークッキー,強化
2725,バーチャル,施設・体験,提供
2733,：DNP）,施設等,サポート
2735,DNP,完成施設,つなげ
2737,DNP,企業サービス,開発
2738,コミュニケーション活性成果,社内向けイベント,活用
2741,最短こと,最短メタバース,可能
2743,個別認証,本サービス,予定
2746,各種連動,体験企画施設,なり
2750,体験価格,＊メタバース,変動
2752,属性情報等,コミュニケーション連携,貢献
2762,（DNP）,社員イベント,実施
2763,親しい有志,企画,実施
2765,参加会社,図書本,渡し
2766,社員促進,顔,し
2767,参加者,コミュニケーション,わかり
2768,（右）,（左本,様子
2770,来店者,本,仕組み
2771,DNPグループ,外濠取り組み,推進
2773,DNPグループ,画家ポストカード,プレゼント
2775,サン・日,生活活動,広げ
2788,大型化,コーティング装置,導入
2789,先行拡大,生産性,対応
2792,機能性ニーズ,大型ライン,高まっ
2793,DNP,コーティング装置,増設
2795,高機能コーティング,層,対応
2799,需要,機能性フィルム,）
2801,CO2排出削減,消費電力,込め
2802,設備投資額,約円,予定
2804,年間約DNP,知的資産,対応
2819,（トライセラ）,ビジネス創出,目指し
2821,DNPアートコミュニケーションズ,グラフィック事業,展開
2822,作家活動,発送通関手続き,代行
2823,DNPグループ,・ビジネスみ,貢献
2826,生活者,こと機会,提供
2828,DNPアートコミュニケーションズ,並びに事業化,図っ
2847,プリモアートDNP,（フェーズワン）,仕上げ
2862,newtrace株式会社,＊サービス,提供
2863,アクティブユーザー,アバター,い
2864,財産）コンテンツ,企画・サービス,提供
2867,時間,コミュニケーション,増え
2868,国際,ファンアプローチ,し
2873,浮世絵DNP,アイテム,）
2874,世界展開,コミュニケーション®価値,提供
2898,DNP,各種ソリューション等,紹介
2901,DNPグループ,課題ソリューション,紹介
2914,おこし＆スポーツ,デジタルトランスフォーメーション姿,伝え
2916,方,受講,越し
2937,管理者）,実証事業,行っ
2938,渋谷未来デザイン,生き抜くこと,協業
2941,子どもたち,・販売喚起,促し
2945,子どもたち同士,顧客体験,行い
2946,子ども意見,時間,あり
2948,・言語人々,企業・メタバース,提供
2962,本サービス,飲料・開発,進め
2967,深刻DNP,現場課題,つなげ
2969,DNP,本サービス,活用
2970,利用者,業務体制,貢献
2974,本DNP,本サービス導入,目指し
2985,証券取引所,（DX企業,選定
2986,社,企業,選定
2988,モノ・体験,ビジネスモデル,出し
2989,製品・付加,生産向上,組ん
2993,拡張性,価値創出,加速
2996,性・人々,マーケティング支援,展開
2998,店中DNP,ストアDX,実現
3004,TGVガラスコア基板,評価,獲得
3011,基板＊1,（木グランプリ,受賞
3012,表彰プレゼンテーション,・将来性,行わ
3016,同紙記者,・将来性,選出
3018,TGVガラスコア基板,半導体提供,し
3019,新従来,高信頼性,実現
3020,（貫通長,密着性,有し
3021,自由度,製造プロセス,可能
3023,DNP,情報ソリューション,提供
3034,：DNP）,広告サービス,開始
3036,デジタル主流,通信エネルギー,つながっ
3037,業界対策,広告効果,十分
3038,DNP,広告活動,実現
3041,CO₂OpenX,デジタル広告サービス,提供
3045,通信量,潜在顧客獲得,支援
3047,広告主,カーボン設計,提案
3049,企業支援,KidsExperience®,可能
3051,実証DNP,カーボンニュートラル取り組み,推進
3052,DNPグループ,製品開発,推進
3053,排出こと,排出量,なり
3057,※本リリース,記載,日
3060,実績,内外装材,展示
3066,LLC）,製品・ソリューション,提案
3070,展示DNP,・外装材,訴求
3071,EBテクノロジー,傷性機能,技術
3081,排出量,耐久性,製品
3083,紙製品,紙塩ビ,使い分け
3085,DNP,外装力,貢献
3089,生成利用,価値,促進
3097,人＊１,5月運用,開始
3098,マイクロソフト株式会社,情報漏えい,運用
3101,DNP,生成創出,加速
3102,&InformationDNP,企業価値,提供
3105,企画・社員,生成AI,行っ
3106,200名以上,・サービスハッカソン,継続
3108,社員全員,価値み,注力
3112,米国OpenAI社,Transformer）機能,AI
